Community,House_type,Listing_price,Sigma_estimate,Sold_price,Bedroom,Washroom,Parking,Tax,Maintenance,Size,Days_on_market,Exposure,heat,water,hydro,Size_cat
Bay Street Corridor - Toronto,Condo Apt,624888,620764,615000.0,1.0,1,0,2130.0,370.0,500.0,36,E,1,1,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,679900,683935,668000.0,1.33,1,0,2322.5,386.0,600.0,38,NE,1,1,0,"[600, 700)"
Moss Park - Toronto,Condo Apt,685000,700681,685000.0,1.33,2,1,2297.0,501.0,600.0,0,W,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,625000,633040,682000.0,1.0,1,0,2267.0,316.0,500.0,2,W,1,1,0,"[500, 600)"
Annex - Toronto,Condo Apt,569000,576460,570000.0,1.0,1,0,2418.0,330.0,0.0,2,S,0,0,0,"[0, 500)"
Church-Yonge Corridor - Toronto,Condo Apt,568000,580127,603800.0,1.33,1,0,2249.0,428.0,500.0,3,W,1,1,0,"[500, 600)"
Kensington-Chinatown - Toronto,Condo Apt,519000,588938,638000.0,1.33,1,0,2195.0,410.0,500.0,5,W,0,0,0,"[500, 600)"
Thorncliffe Park - Toronto,Condo Apt,564900,558552,621000.0,1.33,1,1,2051.0,489.0,600.0,4,S,1,1,0,"[600, 700)"
Mount Pleasant West - Toronto,Condo Apt,559000,569760,630000.0,1.0,1,0,2423.0,414.0,500.0,4,S,1,1,0,"[500, 600)"
Regent Park - Toronto,Condo Apt,599999,618397,688000.0,1.33,1,1,2020.0,441.0,600.0,4,E,1,1,0,"[600, 700)"
Corso Italia-Davenport - Toronto,Detached,699900,852311,810000.0,2.66,1,1,3106.0,694.2727272727273,1300.0,6,N,0,0,0,"[1100, 1500)"
Church-Yonge Corridor - Toronto,Condo Apt,699000,718252,758000.0,2.0,1,0,2991.0,403.0,600.0,6,NW,1,1,0,"[600, 700)"
South Parkdale - Toronto,Condo Townhouse,668000,753134,750817.0,2.33,1,1,2585.0,371.0,800.0,7,S,0,1,0,"[800, 900)"
Niagara - Toronto,Condo Apt,599000,633928,760000.0,1.0,1,1,2200.0,507.0,600.0,7,E,1,1,0,"[600, 700)"
High Park North - Toronto,Condo Apt,670000,682452,700000.0,1.33,1,1,2811.0,680.0,700.0,7,S,1,1,0,"[700, 800)"
Waterfront Communities C8 - Toronto,Condo Apt,699000,726175,820000.0,1.0,1,1,3004.0,619.0,700.0,7,S,1,1,0,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,699000,717021,743800.0,1.33,1,1,2465.0,458.0,600.0,9,E,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,570000,588192,590000.0,1.33,1,0,2045.0,437.0,600.0,9,N,0,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,690000,696742,697000.0,1.33,1,0,2549.0,398.0,600.0,10,N,1,0,0,"[600, 700)"
Regent Park - Toronto,Condo Apt,689900,703928,673000.0,1.33,1,1,2003.0,431.0,600.0,10,SW,1,1,0,"[600, 700)"
Yonge-Eglinton - Toronto,Condo Apt,599000,620019,595000.0,1.33,1,0,2381.0,467.0,500.0,14,N,0,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,559900,571603,559000.0,1.0,1,0,1655.0,337.0,500.0,14,SE,1,1,0,"[500, 600)"
