Community,House_type,Listing_price,Sigma_estimate,Sold_price,Bedroom,Washroom,Parking,Tax,Maintenance,Size,Days_on_market,Exposure,heat,water,hydro,Size_cat
Church-Yonge Corridor - Toronto,Condo Apt,658000,647762,660000.0,1.0,1,0,2417.0,295.0,0.0,49,W,1,1,0,"[0, 500)"
East End-Danforth - Toronto,Condo Apt,652850,656316,639000.0,1.0,2,0,2424.046979865772,442.0,700.0,69,E,1,1,0,"[700, 800)"
Mount Pleasant West - Toronto,Condo Apt,649000,648260,668800.0,1.33,1,1,3005.0,411.0,600.0,2,W,0,0,0,"[600, 700)"
Keelesdale-Eglinton West - Toronto,Condo Townhouse,699000,792817,780000.0,2.0,2,1,2249.0,552.0,1200.0,2,S,0,1,0,"[1100, 1500)"
Kensington-Chinatown - Toronto,Condo Apt,645000,643269,650000.0,2.0,1,0,2141.0,783.0,700.0,2,W,1,1,1,"[700, 800)"
Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,558000,559779,560000.0,1.0,1,1,1733.0,388.0,500.0,8,W,1,1,0,"[500, 600)"
Mount Pleasant East - Toronto,Condo Apt,699800,713459,675000.0,2.0,2,0,2635.0,420.0,600.0,37,NW,0,0,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,609000,608848,605000.0,1.0,1,0,2549.0,541.0,500.0,49,S,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,679000,681251,700000.0,1.33,1,1,2249.0,604.0,700.0,1,NE,1,1,1,"[700, 800)"
Niagara - Toronto,Condo Apt,550000,568522,590000.0,1.33,1,0,1763.0,433.0,500.0,1,N,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,599900,626057,650000.0,1.0,2,1,2009.0,527.0,600.0,2,N,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,619900,618585,619900.0,1.0,1,1,2080.288888888889,446.0,0.0,2,SE,0,0,0,"[0, 500)"
Waterfront Communities C8 - Toronto,Condo Apt,674900,696072,675000.0,1.33,2,1,2363.0,567.0,600.0,7,SE,1,1,0,"[600, 700)"
Niagara - Toronto,Condo Apt,649900,687692,785888.0,2.0,2,1,2675.0,647.0,900.0,2,S,1,1,0,"[900, 1000)"
Church-Yonge Corridor - Toronto,Condo Apt,599900,631057,680000.0,1.0,2,0,2687.0,369.0,500.0,3,SE,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,598900,602281,585000.0,1.0,1,0,2017.0,356.0,500.0,3,N,0,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,699999,716122,780000.0,1.33,1,1,3466.0,624.0,600.0,3,S,1,1,0,"[600, 700)"
Cabbagetown-South St. James Town - Toronto,Condo Townhouse,589900,635120,620000.0,2.0,1,1,2039.0,425.0,600.0,6,W,0,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,560000,557072,600000.0,1.0,1,1,1757.0,392.0,500.0,8,E,1,1,0,"[500, 600)"
High Park North - Toronto,Condo Apt,659000,677176,669000.0,1.33,1,1,2627.0,777.0,800.0,10,N,1,1,0,"[800, 900)"
Church-Yonge Corridor - Toronto,Condo Apt,645000,649632,652000.0,2.0,2,0,2501.0,516.0,600.0,11,N,1,1,0,"[600, 700)"
Yonge-St. Clair - Toronto,Condo Apt,599000,608885,576500.0,1.33,1,0,2579.0,517.0,600.0,18,N,0,0,0,"[600, 700)"
Waterfront Communities C8 - Toronto,Condo Apt,649900,671691,640000.0,1.33,1,0,2765.0,498.0,600.0,21,W,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599600,601046,575000.0,1.0,1,0,2069.0,364.0,500.0,25,N,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,644900,640988,635000.0,1.0,1,1,2356.0,609.0,700.0,31,N,0,1,0,"[700, 800)"
Mount Pleasant West - Toronto,Condo Apt,599000,619298,615000.0,1.33,1,0,2207.0,473.0,621.0,33,S,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,625000,629518,620000.0,1.33,1,1,1949.0,344.0,500.0,38,SW,1,1,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,649900,656058,620000.0,2.0,1,1,2153.0,1201.0,900.0,43,NE,1,1,0,"[900, 1000)"
Waterfront Communities C8 - Toronto,Condo Apt,699900,711366,690000.0,2.0,1,1,2800.0,515.0,600.0,82,NE,0,0,0,"[600, 700)"
Niagara - Toronto,Condo Apt,558900,567836,544000.0,1.0,1,1,1698.0,358.0,0.0,84,N,1,1,1,"[0, 500)"
Annex - Toronto,Condo Apt,688800,714912,650000.0,1.33,1,0,4400.0,569.0,500.0,93,W,1,1,0,"[500, 600)"
Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,599000,611334,575000.0,1.0,1,1,1871.0,420.0,600.0,1,SE,1,1,0,"[600, 700)"
Casa Loma - Toronto,Condo Apt,645000,643253,645000.0,1.0,1,1,2357.0,514.0,600.0,1,W,1,1,0,"[600, 700)"
Moss Park - Toronto,Condo Apt,599000,646313,659888.0,1.33,1,0,2471.0,458.0,700.0,2,W,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,599000,612072,599999.0,1.0,1,0,2339.0,417.0,500.0,2,S,1,1,0,"[500, 600)"
Danforth Village-East York - Toronto,Semi-Detached,599000,923290,886100.0,2.0,2,1,3490.0,760.2142857142857,900.0,3,NE,0,0,0,"[900, 1000)"
Niagara - Toronto,Condo Apt,699900,736413,776000.0,1.0,1,1,2273.0,346.0,600.0,3,W,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599000,617785,625000.0,1.33,1,1,2153.0,504.0,600.0,4,SW,1,1,0,"[600, 700)"
East End-Danforth - Toronto,Condo Apt,579900,568956,585750.0,1.0,1,0,1775.0,361.0,500.0,8,S,1,1,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,560000,571932,560000.0,1.33,1,0,2111.0,578.0,700.0,17,S,1,1,1,"[700, 800)"
Annex - Toronto,Condo Apt,599000,621029,586125.0,1.0,1,0,2699.0,416.0,0.0,17,E,1,1,0,"[0, 500)"
Waterfront Communities C1 - Toronto,Condo Apt,699900,727484,718000.0,2.0,2,1,3006.0,654.0,800.0,48,SE,1,1,0,"[800, 900)"
Church-Yonge Corridor - Toronto,Condo Apt,659000,653070,655000.0,1.0,1,0,2207.0,303.0,500.0,46,SE,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,579000,585586,640000.0,1.33,1,1,1979.0,490.0,600.0,0,SE,1,1,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,650000,658154,660000.0,1.0,1,0,2440.0,369.0,500.0,2,SE,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,608000,603511,609000.0,1.0,1,0,2243.0,378.0,500.0,1,S,1,1,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,559000,563853,545000.0,1.0,1,0,2545.0,673.0,500.0,4,E,1,1,0,"[500, 600)"
Moss Park - Toronto,Condo Apt,679000,692873,685000.0,1.33,1,1,2573.0,491.0,677.0,6,NW,0,1,0,"[600, 700)"
High Park-Swansea - Toronto,Condo Apt,599900,629428,715000.0,2.0,2,1,2291.0,718.0,800.0,6,SE,1,1,1,"[800, 900)"
Mount Pleasant West - Toronto,Condo Apt,699000,704439,725000.0,1.33,1,1,2489.0,569.0,700.0,7,E,1,1,0,"[700, 800)"
High Park-Swansea - Toronto,Condo Apt,699900,716210,705000.0,1.33,1,1,2567.0,581.0,600.0,7,NW,0,1,0,"[600, 700)"
Niagara - Toronto,Condo Apt,699900,754059,710500.0,1.33,2,1,2465.0,775.0,700.0,9,N,1,1,1,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,609000,621393,600000.0,1.0,1,0,1625.0,365.0,600.0,13,S,0,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,563000,561530,563000.0,1.0,1,1,2027.0,446.0,500.0,14,NW,1,1,0,"[500, 600)"
Mimico - Toronto,Condo Apt,572500,549443,567500.0,1.0,1,0,2080.288888888889,345.0425531914894,448.0,14,W,0,0,0,"[0, 500)"
Bay Street Corridor - Toronto,Condo Apt,699000,710163,678000.0,1.33,1,1,2747.0,605.0,700.0,14,W,1,1,1,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,559900,559474,548000.0,1.0,1,0,2222.0,419.0,500.0,16,W,1,1,0,"[500, 600)"
Mount Pleasant West - Toronto,Condo Apt,599900,607582,585000.0,1.33,1,0,2509.0,371.0,500.0,26,W,0,0,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,599000,668865,650000.0,2.0,1,0,2129.0,558.0,700.0,29,SE,1,1,0,"[700, 800)"
Kensington-Chinatown - Toronto,Condo Apt,688000,660230,637000.0,2.0,1,0,2369.0,887.0,800.0,36,W,1,1,1,"[800, 900)"
Bayview Village - Toronto,Condo Apt,650000,660183,640000.0,2.0,2,1,2322.5,484.4277620396601,646.0,131,N,0,0,0,"[600, 700)"
Waterfront Communities C8 - Toronto,Condo Apt,699900,716191,672000.0,1.33,2,1,2197.8396946564885,440.0,500.0,146,N,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,698880,722217,716800.0,2.33,2,1,2737.0,567.0,700.0,0,W,1,1,0,"[700, 800)"
Waterfront Communities C8 - Toronto,Condo Apt,629800,629670,640000.0,1.0,1,0,2315.0,400.0,500.0,2,E,1,1,0,"[500, 600)"
Annex - Toronto,Condo Apt,628000,638041,618888.0,1.33,1,0,3454.0,565.0,500.0,2,N,1,1,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,669000,671060,710000.0,1.0,1,1,3136.0,607.0,600.0,6,NW,1,0,0,"[600, 700)"
Rockcliffe-Smythe - Toronto,Semi-Detached,699000,867976,740000.0,2.33,2,0,2567.0,760.2142857142857,900.0,7,W,0,0,0,"[900, 1000)"
Waterfront Communities C1 - Toronto,Condo Apt,598000,602296,668000.0,1.0,1,1,2105.0,499.0,600.0,7,NW,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,669900,664446,680000.0,1.0,1,0,2741.0,390.0,600.0,8,NE,0,0,0,"[600, 700)"
Regent Park - Toronto,Condo Apt,639000,629729,661700.0,1.33,1,1,2153.0,503.0,600.0,8,NE,1,1,0,"[600, 700)"
Kensington-Chinatown - Toronto,Condo Apt,629000,643181,643000.0,1.33,2,0,2399.0,433.0,600.0,11,E,1,0,0,"[600, 700)"
Mount Pleasant West - Toronto,Condo Apt,674900,671355,644000.0,1.33,1,1,2531.0,724.0,700.0,13,E,1,1,0,"[700, 800)"
Niagara - Toronto,Condo Apt,649900,664783,645000.0,1.33,1,1,2093.0,406.0,600.0,14,E,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,595000,601315,595000.0,1.0,1,1,2237.0,712.0,600.0,15,N,1,1,1,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,679800,690090,658000.0,1.33,2,0,2657.0,410.0,500.0,17,E,1,1,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,695000,700808,685800.0,1.0,1,1,3195.0,533.0,500.0,18,NE,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,649900,659288,651111.0,1.33,1,0,3175.0,509.0,600.0,42,N,0,1,0,"[600, 700)"
High Park-Swansea - Toronto,Condo Apt,644900,645032,630000.0,2.0,2,1,2129.0,712.0,900.0,62,E,1,1,1,"[900, 1000)"
Waterfront Communities C1 - Toronto,Condo Apt,635000,632542,615000.0,1.33,1,0,2207.0,470.0,600.0,95,W,1,1,0,"[600, 700)"
Niagara - Toronto,Condo Apt,550000,567599,593000.0,1.0,1,1,1940.0,403.0,600.0,0,E,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,619900,616081,650000.0,1.33,1,0,1979.0,402.0,600.0,5,E,1,1,0,"[600, 700)"
Waterfront Communities C8 - Toronto,Condo Apt,638000,650524,645000.0,1.33,2,0,2147.0,524.0,600.0,2,S,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,609900,594637,610000.0,1.0,1,0,2075.0,329.0,0.0,3,W,1,0,0,"[0, 500)"
Church-Yonge Corridor - Toronto,Condo Apt,579000,570617,614000.0,1.0,1,0,1883.0,391.0,0.0,5,E,1,1,0,"[0, 500)"
Dovercourt-Wallace Emerson-Junction - Toronto,Condo Townhouse,699000,780848,862000.0,2.33,2,1,2499.0,345.0,900.0,7,SW,0,1,0,"[900, 1000)"
Waterfront Communities C1 - Toronto,Condo Apt,609900,594927,609900.0,1.0,1,0,2075.0,289.0,0.0,10,E,1,1,0,"[0, 500)"
Waterfront Communities C1 - Toronto,Condo Apt,670000,678236,670000.0,1.33,2,1,2267.0,435.0,600.0,10,S,1,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,695000,693770,700000.0,1.33,1,1,2237.0,425.0,600.0,11,W,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,595000,593463,585000.0,1.0,1,0,2261.0,350.0,500.0,14,E,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,649000,647886,640000.0,1.0,1,0,2446.0,455.0,600.0,3,N,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,600000,608910,685000.0,1.0,1,0,2325.0,358.0,500.0,2,S,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,599900,614528,637000.0,1.33,1,0,2100.0,260.0,600.0,3,N,1,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,649900,644891,645000.0,1.0,1,0,1973.0,397.0,500.0,6,S,1,1,0,"[500, 600)"
Mount Dennis - Toronto,Condo Townhouse,580000,636601,616000.0,3.0,2,1,1757.0,585.0,1200.0,7,S,0,1,0,"[1100, 1500)"
Waterfront Communities C1 - Toronto,Condo Apt,699990,709630,718000.0,1.33,1,1,2435.0,595.0,700.0,11,W,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,608000,611825,590000.0,1.33,1,1,1973.0,488.0,500.0,15,NW,1,1,1,"[500, 600)"
Moss Park - Toronto,Condo Apt,599900,683550,659000.0,1.33,2,1,2329.0,498.0,700.0,30,SW,1,1,0,"[700, 800)"
Waterfront Communities C8 - Toronto,Condo Apt,652000,661498,648000.0,1.0,1,0,1.0,472.0,600.0,116,SW,0,0,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,729900,676401,650000.0,1.33,1,0,2711.0,610.0,700.0,173,N,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,589900,592917,606800.0,1.0,1,1,2123.0,446.0,500.0,1,N,1,1,0,"[500, 600)"
Little Portugal - Toronto,Condo Apt,619000,615622,656000.0,1.33,1,1,2281.0,526.0,600.0,1,S,1,1,0,"[600, 700)"
Briar Hill-Belgravia - Toronto,Condo Apt,699000,724984,800000.0,2.0,2,1,2465.0,606.0,900.0,1,N,1,1,1,"[900, 1000)"
Waterfront Communities C1 - Toronto,Condo Apt,669000,667117,665000.0,1.33,1,1,1927.0,510.0,600.0,2,NE,1,1,1,"[600, 700)"
Niagara - Toronto,Condo Apt,655000,670992,650000.0,1.33,1,1,2141.0,516.0,600.0,2,W,1,1,0,"[600, 700)"
Niagara - Toronto,Condo Apt,579000,593041,651500.0,1.33,1,0,2225.0,361.0,600.0,3,S,1,1,0,"[600, 700)"
Weston - Toronto,Condo Townhouse,560000,584166,580000.0,3.0,2,1,1661.0,585.0,1000.0,3,N,0,1,0,"[1000, 1100)"
Mount Pleasant East - Toronto,Condo Apt,675000,679461,672500.0,1.33,1,1,3130.0,504.0,600.0,3,S,1,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599900,612619,686000.0,1.33,1,1,2189.0,498.0,600.0,5,NE,1,1,0,"[600, 700)"
Mount Pleasant West - Toronto,Condo Apt,659000,657274,655000.0,1.33,1,1,2339.0,716.0,700.0,5,S,0,1,0,"[700, 800)"
Waterfront Communities C8 - Toronto,Condo Apt,699000,719784,690000.0,1.33,2,1,2467.0,588.0,600.0,5,N,1,1,0,"[600, 700)"
High Park-Swansea - Toronto,Condo Townhouse,649900,720105,640000.0,1.33,2,1,2165.0,553.0,700.0,10,S,0,1,0,"[700, 800)"
Flemingdon Park - Toronto,Condo Apt,660000,653274,660000.0,3.0,2,1,1450.0,771.0,1000.0,12,NW,1,1,1,"[1000, 1100)"
Waterfront Communities C1 - Toronto,Condo Apt,630000,626541,630800.0,1.0,1,0,2323.0,354.0,600.0,11,W,0,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,640000,627913,633802.0,1.0,1,0,1955.0,386.0,0.0,16,NW,0,1,0,"[0, 500)"
Mount Pleasant West - Toronto,Condo Apt,679000,680727,675000.0,1.33,1,1,3130.0,468.0,600.0,79,S,1,0,0,"[600, 700)"
Niagara - Toronto,Condo Apt,589000,602461,635000.0,1.0,1,0,2332.0,394.0,700.0,1,NW,1,1,0,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,579000,580292,579000.0,1.33,1,0,2057.0,642.0,600.0,1,S,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,619900,611313,615000.0,1.0,1,0,2072.0,286.0,500.0,1,E,1,1,0,"[500, 600)"
Mount Dennis - Toronto,Detached,639000,693241,700000.0,2.66,2,1,2207.0,760.2142857142857,900.0,2,W,0,0,0,"[900, 1000)"
Leaside - Toronto,Condo Apt,599000,634433,770000.0,2.0,2,2,2759.0,671.0,800.0,3,NW,1,1,0,"[800, 900)"
South Parkdale - Toronto,Condo Apt,599800,622353,663125.0,2.33,1,1,2183.0,557.0,700.0,3,SW,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,615000,615363,760100.0,1.33,1,1,2800.0,501.0,600.0,3,E,1,1,0,"[600, 700)"
Moss Park - Toronto,Condo Apt,565000,569318,575000.0,1.0,1,1,1943.0,479.0,500.0,4,W,1,1,1,"[500, 600)"
South Riverdale - Toronto,Condo Apt,659900,679266,650000.0,1.33,1,0,3000.0,375.0,600.0,4,N,0,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,598700,607614,590000.0,1.33,1,0,2494.0,327.0,500.0,7,N,1,1,0,"[500, 600)"
Junction Area - Toronto,Condo Apt,689000,682126,667000.0,2.33,2,0,2381.0,459.0,900.0,21,N,0,1,0,"[900, 1000)"
Waterfront Communities C1 - Toronto,Condo Apt,698800,702950,667000.0,1.0,1,1,2142.0,662.0,700.0,22,NW,1,1,1,"[700, 800)"
Niagara - Toronto,Condo Apt,569000,598042,550000.0,1.0,2,1,2302.0,405.0,500.0,39,SW,1,1,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,579999,569591,549000.0,1.0,2,0,1955.0,545.0,600.0,73,N,1,1,1,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,575000,588918,575000.0,1.0,1,0,1799.0,338.0,500.0,0,S,1,0,0,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,596000,596265,598000.0,1.0,1,0,2177.0,344.0,500.0,1,S,1,1,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,658800,651680,658000.0,1.0,1,0,2417.0,429.0,500.0,1,S,1,0,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,649000,656099,643000.0,1.33,1,1,2141.0,526.0,600.0,1,SW,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,614900,614598,618000.0,1.33,1,1,2147.0,662.0,600.0,1,N,1,1,1,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599900,607557,612000.0,1.33,1,0,1883.0,329.0,600.0,2,S,0,1,0,"[600, 700)"
Blake-Jones - Toronto,Condo Townhouse,599000,591113,825000.0,2.0,1,1,2435.0,670.0,800.0,2,W,0,1,0,"[800, 900)"
Moss Park - Toronto,Condo Apt,589000,624452,645500.0,1.33,2,1,2350.0,524.0,700.0,2,W,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,686000,681395,684500.0,1.33,1,1,2375.0,401.0,600.0,3,E,0,1,0,"[600, 700)"
Waterfront Communities C8 - Toronto,Condo Apt,595000,604964,660000.0,2.33,1,1,2033.0,847.0,800.0,3,S,1,1,1,"[800, 900)"
Waterfront Communities C1 - Toronto,Condo Apt,619900,617435,627000.0,1.0,1,0,2321.0,383.0,500.0,4,SW,1,1,0,"[500, 600)"
Broadview North - Toronto,Condo Apt,629999,649443,610000.0,2.0,2,1,1931.0,783.0,1000.0,8,E,1,1,1,"[1000, 1100)"
Waterfront Communities C1 - Toronto,Condo Apt,620000,612651,631000.0,1.0,1,0,2197.8396946564885,411.62589928057554,512.0,9,W,0,0,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,620000,615664,631000.0,1.0,1,0,2197.8396946564885,344.0,500.0,9,W,0,0,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,589000,606405,650000.0,2.0,2,1,2051.0,950.0,900.0,10,SE,1,1,1,"[900, 1000)"
Waterfront Communities C1 - Toronto,Condo Apt,605000,606118,590000.0,1.0,1,1,2129.0,383.0,500.0,10,E,1,1,0,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,660000,605851,615000.0,1.0,1,0,2423.0,374.0,500.0,13,S,1,1,0,"[500, 600)"
Cabbagetown-South St. James Town - Toronto,Condo Apt,597000,594888,605000.0,1.33,1,1,2453.0,884.0,800.0,22,NE,1,1,1,"[800, 900)"
Flemingdon Park - Toronto,Condo Apt,579000,571416,568000.0,1.33,2,1,2322.5,489.0,600.0,27,W,0,0,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,568888,556682,553000.0,1.0,1,0,1949.0,437.0,500.0,35,S,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,669000,674647,653000.0,1.33,1,1,2495.0,548.0,700.0,41,N,1,1,0,"[700, 800)"
Forest Hill South - Toronto,Condo Apt,599000,619240,582000.0,1.0,1,1,2351.0,581.0,600.0,56,N,1,1,0,"[600, 700)"
Bayview Village - Toronto,Condo Apt,625000,623332,610000.0,1.0,1,1,2486.0,472.0,650.0,77,S,0,0,0,"[600, 700)"
High Park-Swansea - Toronto,Condo Apt,609000,599147,621000.0,1.33,1,1,2225.0,579.0,700.0,0,E,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,668000,672377,676000.0,1.33,1,1,2129.0,596.0,700.0,0,SW,1,1,1,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,559000,564458,581300.0,1.33,1,1,1949.0,344.0,500.0,1,W,1,1,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,620000,615089,630000.0,1.0,1,0,2257.0,372.0,500.0,1,E,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,669900,691573,690000.0,1.33,2,1,2230.0,399.0,600.0,2,E,1,1,0,"[600, 700)"
Regent Park - Toronto,Condo Apt,699000,731516,707000.0,2.0,2,1,2363.0,555.0,700.0,2,W,1,1,0,"[700, 800)"
Mount Pleasant East - Toronto,Condo Apt,598900,621719,725000.0,1.33,2,1,2543.0,557.0,600.0,4,N,1,1,0,"[600, 700)"
Annex - Toronto,Condo Apt,649000,655608,630000.0,1.33,1,0,2525.0,529.0,600.0,5,N,0,1,0,"[600, 700)"
High Park North - Toronto,Condo Apt,669000,687973,670000.0,1.33,1,1,2603.0,616.0,700.0,7,W,1,1,0,"[700, 800)"
Weston - Toronto,Detached,699900,796974,763000.0,1.33,2,1,2411.0,760.2142857142857,900.0,7,SW,0,0,0,"[900, 1000)"
Waterfront Communities C8 - Toronto,Condo Apt,649999,678396,650000.0,1.0,1,1,2441.0,622.0,600.0,8,N,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,679000,679266,650000.0,1.0,1,0,2779.0,575.0,700.0,8,NW,1,1,0,"[700, 800)"
Mount Pleasant West - Toronto,Condo Apt,599999,597211,596000.0,1.33,1,0,2075.0,348.0,500.0,12,NE,0,0,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,599900,609550,585000.0,1.0,1,1,2195.0,383.0,500.0,14,E,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,649000,669098,632000.0,1.0,2,1,2027.0,355.0,545.0,23,E,1,1,0,"[500, 600)"
Briar Hill-Belgravia - Toronto,Condo Townhouse,698000,746945,678000.0,2.0,2,1,2726.0,360.0,1000.0,27,E,0,0,0,"[1000, 1100)"
Waterfront Communities C8 - Toronto,Condo Apt,699900,736964,695000.0,1.33,2,0,3118.0,702.0,1000.0,28,N,1,1,0,"[1000, 1100)"
Waterfront Communities C1 - Toronto,Condo Apt,558000,541290,548000.0,1.0,1,0,1835.0,392.0,500.0,33,NE,1,1,0,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,625000,626566,620000.0,1.0,1,0,2362.0,350.0,500.0,34,E,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,598000,610992,595200.0,1.33,1,0,2522.0,307.0,500.0,79,S,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,570000,566763,550000.0,1.33,1,0,1883.0,340.0,500.0,79,E,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,575000,581577,575000.0,1.0,1,0,2179.0,368.0,500.0,86,N,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,588000,618495,595000.0,1.33,1,0,2159.0,494.0,600.0,0,SE,1,1,0,"[600, 700)"
Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,639000,664903,628000.0,1.33,2,1,2015.0,664.0,800.0,1,NW,1,1,0,"[800, 900)"
Niagara - Toronto,Condo Apt,589900,582837,590000.0,1.0,1,0,1889.0,371.0,0.0,1,N,1,1,0,"[0, 500)"
Little Portugal - Toronto,Condo Apt,569000,597144,640000.0,1.33,1,1,2168.0,476.0,700.0,1,E,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,669900,678236,696000.0,1.33,2,1,2248.0,446.0,600.0,1,W,1,0,0,"[600, 700)"
University - Toronto,Condo Apt,678000,693271,685000.0,1.33,1,1,2904.0,524.0,600.0,4,E,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,619800,617316,656000.0,1.33,1,1,2003.0,525.0,600.0,4,NE,1,1,1,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,619000,626953,708000.0,1.33,1,1,2639.0,550.0,700.0,6,E,1,1,0,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,598888,586353,622000.0,1.33,1,0,2153.0,486.0,600.0,6,E,1,1,0,"[600, 700)"
Niagara - Toronto,Condo Townhouse,699000,715225,816000.0,2.0,1,1,2741.0,482.0,800.0,6,S,1,1,1,"[800, 900)"
Waterfront Communities C1 - Toronto,Condo Apt,574880,584662,570000.0,1.0,1,0,2378.0,388.0,500.0,6,N,1,1,0,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,698000,693112,698000.0,1.0,1,0,2405.0,359.0,500.0,7,W,0,1,0,"[500, 600)"
Crescent Town - Toronto,Detached,649000,785268,765000.0,3.0,1,0,2915.0,577.5540540540541,700.0,7,W,0,0,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,656100,663093,650000.0,1.33,1,0,2322.5,611.0,600.0,8,S,1,1,0,"[600, 700)"
