Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality
C5102411,Unit 201 - 295 Adelaide St W,Waterfront Communities C1 - Toronto,Condo Apt,574880,584662,2021-02-17 00:00:00,570000.0,1.0,1,0,2378.0,"Condo Apt, Apartment",388.0,,500.0,Apartment,"water,heat",6,30.0,2021-02-03 00:00:00,2021-02-17 00:00:00,1725.0,2.07,Adelaide & John,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",N,Toronto
C5101844,Unit 3512 - 7 Grenville St,Bay Street Corridor - Toronto,Condo Apt,698000,693112,2021-02-18 00:00:00,698000.0,1.0,1,0,2405.0,"Condo Apt, Apartment",359.0,0-5,500.0,,water,7,42.0,2021-02-02 00:00:00,2021-02-18 00:00:00,1692.0,1.65,Yonge & College,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",W,Toronto
E5101120,178 Barrington Ave,Crescent Town - Toronto,Detached,649000,785268,2021-02-10 00:00:00,765000.0,3.0,1,0,2915.0,"Detached, Bungalow",,,700.0,Unfinished,,7,11.0,2021-02-02 00:00:00,2021-02-10 00:00:00,2382.0,3.28,Main St. & Lumsden Ave.,,,Toronto
C5100390,Unit 1101 - 80 John St,Waterfront Communities C1 - Toronto,Condo Apt,656100,663093,2021-02-18 00:00:00,650000.0,1.33,1,0,,"Condo Apt, Apartment",611.0,6-10,600.0,,"water,heat",8,30.0,2021-02-01 00:00:00,2021-02-18 00:00:00,2050.0,2.35,King St. & John St.,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Sauna",S,Toronto
C5099958,Unit 2401 - 2181 Yonge St,Mount Pleasant East - Toronto,Condo Apt,615000,598202,2021-02-09 00:00:00,615000.0,1.0,1,1,2519.0,"Condo Apt, Apartment",504.0,,600.0,,heat,8,30.0,2021-02-01 00:00:00,2021-02-09 00:00:00,1803.0,1.86,Yonge & Eglinton,,E,Toronto
C5097320,Unit 318 - 12 Bonnycastle St,Waterfront Communities C8 - Toronto,Condo Apt,589900,581969,2021-02-10 00:00:00,585000.0,1.0,1,0,1769.0,"Condo Apt, Apartment",392.0,0-5,500.0,,,12,32.0,2021-01-28 00:00:00,2021-02-10 00:00:00,1650.0,2.03,Queens Quay & Bonnycastle,"Concierge, Exercise Room, Guest Suites, Gym, Outdoor Pool, Party/Meeting Room",W,Toronto
C5097063,Unit 711 - 736 Bay St,Bay Street Corridor - Toronto,Condo Apt,579900,568370,2021-02-09 00:00:00,572500.0,1.0,1,1,2195.0,"Condo Apt, Apartment",668.0,,500.0,,"water,hydro,heat",13,42.0,2021-01-27 00:00:00,2021-02-09 00:00:00,1763.0,1.49,Bay & College,,NE,Toronto
40060728,Unit 605 - 30 HARRISON GARDENS Boulevard,Willowdale East - Toronto,Condo/Apt Unit,620000,626416,2021-02-12 00:00:00,614800.0,2.0,2,0,2009.0,"Condo/Apt Unit, 1 Storey/Apt",,2002,782.0,,,12,,2021-01-28 00:00:00,2021-02-11 00:00:00,,,,"Concierge,Elevator,Exercise Room,Games Room,Sauna,Visitor Parking",,Toronto
C5095955,Unit 1008 - 21 Nelson St,Waterfront Communities C1 - Toronto,Condo Apt,579900,577106,2021-02-11 00:00:00,580000.0,1.0,1,0,1979.0,"Condo Apt, Apartment",427.0,6-10,500.0,,,13,31.0,2021-01-27 00:00:00,2021-02-11 00:00:00,1567.0,1.8,University & Adelaide,"Concierge, Games Room, Recreation Room, Security Guard, Security System, Visitor Parking",N,Toronto
C5095250,Unit 207 - 15 Stafford St,Niagara - Toronto,Condo Apt,649900,649732,2021-02-09 00:00:00,652000.0,1.33,1,1,2363.0,"Condo Apt, Apartment",402.0,,600.0,,water,13,25.0,2021-01-27 00:00:00,2021-02-09 00:00:00,2250.0,2.75,King St. W. & Strachan Ave.,"Games Room, Gym, Party/Meeting Room, Security System, Visitor Parking",W,Toronto
E5090892,Unit 323 - 246 Logan Ave,South Riverdale - Toronto,Condo Apt,699900,714411,2021-02-12 00:00:00,690000.0,1.33,1,1,2600.0,"Condo Apt, Apartment",476.0,0-5,600.0,,"water,heat",20,20.0,2021-01-20 00:00:00,2021-02-12 00:00:00,1956.0,2.02,Queen St &  Logan Ave,"Party/Meeting Room, Visitor Parking",E,Toronto
C5087690,Unit 802 - 160 Vanderhoof Ave,Leaside - Toronto,Condo Apt,499000,545305,2021-02-09 00:00:00,568000.0,1.33,1,1,2009.0,"Condo Apt, Apartment",476.0,0-5,600.0,,water,22,30.0,2021-01-18 00:00:00,2021-02-09 00:00:00,1748.0,2.04,Eglinton & Leslie,,E,Toronto
C5087128,Unit 802 - 18 Harbour St,Waterfront Communities C1 - Toronto,Condo Apt,648000,661407,2021-02-12 00:00:00,625000.0,1.33,1,1,2483.0,"Condo Apt, Apartment",478.0,11-15,700.0,,"water,heat",22,31.0,2021-01-18 00:00:00,2021-02-12 00:00:00,1949.0,2.04,Bay & Harbour,"Concierge, Gym, Indoor Pool, Sauna, Tennis Court, Visitor Parking",NW,Toronto
C5084830,Unit 3403 - 87 Peter St,Waterfront Communities C1 - Toronto,Condo Apt,599900,594589,2021-02-10 00:00:00,585000.0,1.0,1,0,2164.0,"Condo Apt, Apartment",294.0,,500.0,,water,26,29.0,2021-01-14 00:00:00,2021-02-10 00:00:00,2024.0,2.84,Peter & Adelaide,"Concierge, Games Room, Guest Suites, Gym, Party/Meeting Room, Sauna",W,Toronto
C5080629,Unit 2711 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,565500,549071,2021-02-09 00:00:00,540000.0,1.0,1,0,2753.0,"Condo Apt, Apartment",442.0,,0.0,,"water,heat",29,32.0,2021-01-11 00:00:00,2021-02-09 00:00:00,1663.0,1.85,Yorkville & Avenue,"Concierge, Exercise Room, Gym, Party/Meeting Room, Security Guard",S,Toronto
C5073535,Unit 2207 - 15 Grenville St,Bay Street Corridor - Toronto,Condo Apt,649900,641769,2021-02-10 00:00:00,645000.0,1.0,1,0,2249.0,"Condo Apt, Apartment",331.0,0-5,0.0,,"water,heat",38,42.0,2021-01-02 00:00:00,2021-02-10 00:00:00,1671.0,1.85,Yonge & College,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden",N,Toronto
C5072735,Unit 2404 - 42 Charles St,Church-Yonge Corridor - Toronto,Condo Apt,689000,688302,2021-02-11 00:00:00,672600.0,1.0,1,0,2690.0,"Condo Apt, Apartment",355.0,,700.0,,water,40,33.0,2020-12-31 00:00:00,2021-02-11 00:00:00,1633.0,1.63,Yonge & Bloor & Charles St East,"Concierge, Gym, Media Room, Outdoor Pool",SW,Toronto
